Position,Name,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Baker Mayfield,7300,MIN@TB 09/27/2026 4:05PM ET,TB,11.91
QB,Jacoby Brissett,7200,ARI@SF 09/27/2026 4:05PM ET,ARI,11.49
QB,Justin Herbert,7000,LAC@BUF 09/27/2026 1:00PM ET,LAC,10.57
QB,Bo Nix,6900,LA@DEN 09/27/2026 8:20PM ET,DEN,9.78
QB,Daniel Jones,6900,HOU@IND 09/27/2026 1:00PM ET,IND,10.22
QB,Drake Maye,6700,NE@JAX 09/27/2026 1:00PM ET,NE,8.92
QB,Marcus Mariota,6600,SEA@WAS 09/27/2026 1:00PM ET,WAS,8.74
QB,Aaron Rodgers,6500,CIN@PIT 09/27/2026 1:00PM ET,PIT,8.26
QB,Jameis Winston,5300,TEN@NYG 09/27/2026 1:00PM ET,NYG,2.54
QB,Tyson Bagent,5300,PHI@CHI 09/28/2026 8:15PM ET,CHI,2.16
QB,Cooper Rush,5300,ATL@GB 09/24/2026 8:15PM ET,ATL,2.58
QB,Stetson Bennett,5100,LA@DEN 09/27/2026 8:20PM ET,LA,1.42
QB,Kenny Pickett,5000,CAR@CLE 09/27/2026 1:00PM ET,CAR,1.0
QB,Sam Darnold,4900,SEA@WAS 09/27/2026 1:00PM ET,SEA,0.52
QB,Mason Rudolph,4900,CIN@PIT 09/27/2026 1:00PM ET,PIT,0.3
QB,Jack Strand,4800,ATL@GB 09/24/2026 8:15PM ET,ATL,-0.04
QB,Mac Jones,4800,ARI@SF 09/27/2026 4:05PM ET,SF,-0.2
QB,Nick Mullens,4800,NE@JAX 09/27/2026 1:00PM ET,JAX,-0.3
QB,Kyler Murray,4800,MIN@TB 09/27/2026 4:05PM ET,MIN,-0.38
RB,Kenneth Walker III,9100,KC@MIA 09/27/2026 1:00PM ET,KC,28.95
RB,Jahmyr Gibbs,9000,NYJ@DET 09/27/2026 1:00PM ET,DET,28.45
RB,Jonathan Taylor,8700,HOU@IND 09/27/2026 1:00PM ET,IND,27.15
RB,Derrick Henry,8600,BAL@DAL 09/27/2026 4:25PM ET,BAL,26.5
RB,D'Andre Swift,7800,PHI@CHI 09/28/2026 8:15PM ET,CHI,22.65
RB,Ashton Jeanty,7500,LV@NO 09/27/2026 4:25PM ET,LV,21.5
RB,Bijan Robinson,7500,ATL@GB 09/24/2026 8:15PM ET,ATL,21.2
RB,Chuba Hubbard,7000,CAR@CLE 09/27/2026 1:00PM ET,CAR,19.05
RB,Christian McCaffrey,6800,ARI@SF 09/27/2026 4:05PM ET,SF,18.2
RB,Breece Hall,6600,NYJ@DET 09/27/2026 1:00PM ET,NYJ,17.0
RB,Bucky Irving,6500,MIN@TB 09/27/2026 4:05PM ET,TB,16.65
RB,David Montgomery,6500,HOU@IND 09/27/2026 1:00PM ET,HOU,16.65
RB,Javonte Williams,6400,BAL@DAL 09/27/2026 4:25PM ET,DAL,16.1
RB,Kyren Williams,6300,LA@DEN 09/27/2026 8:20PM ET,LA,15.6
RB,James Cook,6200,LAC@BUF 09/27/2026 1:00PM ET,BUF,15.4
RB,Chase Brown,6200,CIN@PIT 09/27/2026 1:00PM ET,CIN,15.0
RB,Kyle Monangai,6000,PHI@CHI 09/28/2026 8:15PM ET,CHI,14.1
RB,TreVeyon Henderson,5900,NE@JAX 09/27/2026 1:00PM ET,NE,13.6
RB,Omarion Hampton,5700,LAC@BUF 09/27/2026 1:00PM ET,LAC,12.9
RB,Bhayshul Tuten,5500,NE@JAX 09/27/2026 1:00PM ET,JAX,12.0
RB,Jordan Mason,5500,MIN@TB 09/27/2026 4:05PM ET,MIN,11.9
RB,Cam Skattebo,5500,TEN@NYG 09/27/2026 1:00PM ET,NYG,11.8
RB,De'Von Achane,5400,KC@MIA 09/27/2026 1:00PM ET,MIA,11.45
RB,Travis Etienne,5300,LV@NO 09/27/2026 4:25PM ET,NO,10.95
RB,Aaron Jones,5200,MIN@TB 09/27/2026 4:05PM ET,MIN,10.25
RB,Jeremiyah Love,5200,ARI@SF 09/27/2026 4:05PM ET,ARI,10.25
RB,Jaylen Warren,5100,CIN@PIT 09/27/2026 1:00PM ET,PIT,10.0
RB,Rachaad White,5000,SEA@WAS 09/27/2026 1:00PM ET,WAS,9.5
RB,Kendre Miller,4900,LV@NO 09/27/2026 4:25PM ET,NO,9.0
RB,Jacory Croskey-Merritt,4900,SEA@WAS 09/27/2026 1:00PM ET,WAS,9.2
RB,Rhamondre Stevenson,4900,NE@JAX 09/27/2026 1:00PM ET,NE,9.05
RB,Quinshon Judkins,4800,CAR@CLE 09/27/2026 1:00PM ET,CLE,8.4
RB,RJ Harvey,4700,LA@DEN 09/27/2026 8:20PM ET,DEN,8.1
RB,Jonah Coleman,4600,LA@DEN 09/27/2026 8:20PM ET,DEN,7.4
RB,Blake Corum,4600,LA@DEN 09/27/2026 8:20PM ET,LA,7.8
RB,Alvin Kamara,4500,LV@NO 09/27/2026 4:25PM ET,NO,7.2
RB,Emmett Johnson,4500,KC@MIA 09/27/2026 1:00PM ET,KC,7.15
RB,Devin Singletary,4500,TEN@NYG 09/27/2026 1:00PM ET,NYG,7.35
RB,Tyjae Spears,4400,TEN@NYG 09/27/2026 1:00PM ET,TEN,6.7
RB,Woody Marks,4400,HOU@IND 09/27/2026 1:00PM ET,HOU,6.75
RB,Tyler Allgeier,4400,ARI@SF 09/27/2026 4:05PM ET,ARI,6.45
RB,Tank Bigsby,4300,PHI@CHI 09/28/2026 8:15PM ET,PHI,6.05
RB,Braelon Allen,4300,NYJ@DET 09/27/2026 1:00PM ET,NYJ,6.25
RB,MarShawn Lloyd,4300,ATL@GB 09/24/2026 8:15PM ET,GB,6.15
RB,Jadarian Price,4300,SEA@WAS 09/27/2026 1:00PM ET,SEA,6.4
RB,Saquon Barkley,4300,PHI@CHI 09/28/2026 8:15PM ET,PHI,6.0
RB,Brian Robinson,4200,ATL@GB 09/24/2026 8:15PM ET,ATL,5.9
RB,Tony Pollard,4200,TEN@NYG 09/27/2026 1:00PM ET,TEN,5.95
RB,Samaje Perine,4200,CIN@PIT 09/27/2026 1:00PM ET,CIN,5.6
RB,Rico Dowdle,4100,CIN@PIT 09/27/2026 1:00PM ET,PIT,5.25
RB,Kaelon Black,4100,ARI@SF 09/27/2026 4:05PM ET,SF,5.25
RB,Emanuel Wilson,4000,SEA@WAS 09/27/2026 1:00PM ET,SEA,4.75
RB,Tyler Badie,4000,LA@DEN 09/27/2026 8:20PM ET,DEN,4.9
RB,Jonathon Brooks,4000,CAR@CLE 09/27/2026 1:00PM ET,CAR,4.65
RB,Brady Russell,3800,SEA@WAS 09/27/2026 1:00PM ET,SEA,4.0
RB,Kenny Gainwell,3800,MIN@TB 09/27/2026 4:05PM ET,TB,3.65
RB,Justice Hill,3800,BAL@DAL 09/27/2026 4:25PM ET,BAL,3.8
RB,J.K. Dobbins,3800,LA@DEN 09/27/2026 8:20PM ET,DEN,3.6
RB,Raheim Sanders,3800,CAR@CLE 09/27/2026 1:00PM ET,CLE,3.85
RB,Will Shipley,3700,PHI@CHI 09/28/2026 8:15PM ET,PHI,3.55
RB,Ronnie Rivers,3700,LA@DEN 09/27/2026 8:20PM ET,LA,3.4
RB,Chris Brooks,3700,ATL@GB 09/24/2026 8:15PM ET,GB,3.25
RB,Ameer Abdullah,3700,NE@JAX 09/27/2026 1:00PM ET,JAX,3.25
RB,Keaton Mitchell,3600,LAC@BUF 09/27/2026 1:00PM ET,LAC,2.9
RB,Sione Vaki,3600,NYJ@DET 09/27/2026 1:00PM ET,DET,2.9
RB,Lan Larison,3600,NE@JAX 09/27/2026 1:00PM ET,NE,2.9
RB,DJ Herman,3600,KC@MIA 09/27/2026 1:00PM ET,MIA,2.8
RB,George Holani,3600,SEA@WAS 09/27/2026 1:00PM ET,SEA,2.7
RB,Bam Knight,3500,ARI@SF 09/27/2026 4:05PM ET,ARI,2.4
RB,Mike Washington Jr.,3500,LV@NO 09/27/2026 4:25PM ET,LV,2.4
RB,DeeJay Dallas,3400,MIN@TB 09/27/2026 4:05PM ET,MIN,2.05
RB,Kaytron Allen,3400,SEA@WAS 09/27/2026 1:00PM ET,WAS,2.0
RB,Chris Rodriguez Jr.,3400,NE@JAX 09/27/2026 1:00PM ET,JAX,1.8
RB,Kaleb Johnson,3300,ATL@GB 09/24/2026 8:15PM ET,GB,1.6
RB,Travis Homer,3300,CIN@PIT 09/27/2026 1:00PM ET,PIT,1.6
RB,Jordan James,3300,ARI@SF 09/27/2026 4:05PM ET,SF,1.5
RB,Reggie Gilliam,3300,NE@JAX 09/27/2026 1:00PM ET,NE,1.4
RB,Demond Claiborne,3300,MIN@TB 09/27/2026 4:05PM ET,MIN,1.2
RB,AJ Dillon,3300,CAR@CLE 09/27/2026 1:00PM ET,CAR,1.25
RB,Nicholas Singleton,3200,TEN@NYG 09/27/2026 1:00PM ET,TEN,1.0
RB,Emari Demercado,3200,BAL@DAL 09/27/2026 4:25PM ET,DAL,0.75
RB,Ollie Gordon II,3100,KC@MIA 09/27/2026 1:00PM ET,MIA,0.7
RB,Jaylen Wright,3100,KC@MIA 09/27/2026 1:00PM ET,MIA,0.5
RB,Najee Harris,3100,TEN@NYG 09/27/2026 1:00PM ET,NYG,0.6
RB,CJ Donaldson,3100,LV@NO 09/27/2026 4:25PM ET,NO,0.7
RB,Corey Kiner,3100,NE@JAX 09/27/2026 1:00PM ET,NE,0.55
RB,Seth McGowan,3100,HOU@IND 09/27/2026 1:00PM ET,IND,0.5
RB,Hunter Luepke,3100,BAL@DAL 09/27/2026 4:25PM ET,DAL,0.4
RB,Jaleel McLaughlin,3100,CAR@CLE 09/27/2026 1:00PM ET,CLE,0.3
RB,Frank Gore Jr.,3100,LAC@BUF 09/27/2026 1:00PM ET,BUF,0.3
RB,Ray Davis,3000,LAC@BUF 09/27/2026 1:00PM ET,BUF,0.15
RB,Julius Chestnut,3000,TEN@NYG 09/27/2026 1:00PM ET,TEN,0.0
RB,Roschon Johnson,3000,PHI@CHI 09/28/2026 8:15PM ET,CHI,0.0
RB,Jacob Saylors,3000,NYJ@DET 09/27/2026 1:00PM ET,DET,0.0
RB,Ben VanSumeren,3000,KC@MIA 09/27/2026 1:00PM ET,KC,0.0
RB,Patrick Ricard,3000,TEN@NYG 09/27/2026 1:00PM ET,NYG,0.0
RB,Kimani Vidal,3000,LAC@BUF 09/27/2026 1:00PM ET,LAC,0.0
RB,Tahj Brooks,3000,CIN@PIT 09/27/2026 1:00PM ET,CIN,0.0
RB,Brashard Smith,3000,KC@MIA 09/27/2026 1:00PM ET,KC,0.0
RB,Isaiah Davis,3000,NYJ@DET 09/27/2026 1:00PM ET,NYJ,0.0
RB,Dylan Laube,3000,LV@NO 09/27/2026 4:25PM ET,LV,0.0
RB,British Brooks,3000,HOU@IND 09/27/2026 1:00PM ET,HOU,0.0
RB,Rasheen Ali,3000,BAL@DAL 09/27/2026 4:25PM ET,BAL,0.0
RB,Josh Williams,3000,MIN@TB 09/27/2026 4:05PM ET,TB,0.0
RB,Eli Heidenreich,3000,CIN@PIT 09/27/2026 1:00PM ET,PIT,0.0
RB,LeQuint Allen Jr.,3000,NE@JAX 09/27/2026 1:00PM ET,JAX,0.0
RB,Dylan Sampson,3000,CAR@CLE 09/27/2026 1:00PM ET,CLE,0.0
RB,Tyrone Tracy Jr.,3000,TEN@NYG 09/27/2026 1:00PM ET,NYG,-0.3
TE,Trey McBride,7500,ARI@SF 09/27/2026 4:05PM ET,ARI,21.3
TE,Dalton Kincaid,7300,LAC@BUF 09/27/2026 1:00PM ET,BUF,20.25
TE,Mike Gesicki,6900,CIN@PIT 09/27/2026 1:00PM ET,CIN,18.8
TE,Isaiah Likely,6800,TEN@NYG 09/27/2026 1:00PM ET,NYG,18.05
TE,Travis Kelce,6700,KC@MIA 09/27/2026 1:00PM ET,KC,17.6
TE,Dalton Schultz,6500,HOU@IND 09/27/2026 1:00PM ET,HOU,16.75
TE,Sam LaPorta,5800,NYJ@DET 09/27/2026 1:00PM ET,DET,13.5
TE,Tyler Warren,5600,HOU@IND 09/27/2026 1:00PM ET,IND,12.35
TE,Juwan Johnson,5600,LV@NO 09/27/2026 4:25PM ET,NO,12.5
TE,Dallas Goedert,5600,PHI@CHI 09/28/2026 8:15PM ET,PHI,12.55
TE,Jake Ferguson,5400,BAL@DAL 09/27/2026 4:25PM ET,DAL,11.45
TE,Darren Waller,5400,CAR@CLE 09/27/2026 1:00PM ET,CAR,11.55
TE,Pat Freiermuth,5400,CIN@PIT 09/27/2026 1:00PM ET,PIT,11.5
TE,George Kittle,5200,ARI@SF 09/27/2026 4:05PM ET,SF,10.6
TE,Mark Andrews,5100,BAL@DAL 09/27/2026 4:25PM ET,BAL,9.9
TE,T.J. Hockenson,5000,MIN@TB 09/27/2026 4:05PM ET,MIN,9.75
TE,Terrance Ferguson,4800,LA@DEN 09/27/2026 8:20PM ET,LA,8.7
TE,Evan Engram,4800,LA@DEN 09/27/2026 8:20PM ET,DEN,8.5
TE,Oronde Gadsden II,4600,LAC@BUF 09/27/2026 1:00PM ET,LAC,7.5
TE,Kenyon Sadiq,4600,NYJ@DET 09/27/2026 1:00PM ET,NYJ,7.55
TE,Harold Fannin Jr.,4500,CAR@CLE 09/27/2026 1:00PM ET,CLE,7.25
TE,Cade Otton,4500,MIN@TB 09/27/2026 4:05PM ET,TB,7.2
TE,Jonnu Smith,4500,ATL@GB 09/24/2026 8:15PM ET,GB,7.0
TE,Michael Mayer,4500,LV@NO 09/27/2026 4:25PM ET,LV,7.25
TE,Brenton Strange,4500,NE@JAX 09/27/2026 1:00PM ET,JAX,7.0
TE,Tucker Kraft,4400,ATL@GB 09/24/2026 8:15PM ET,GB,6.5
TE,Noah Fant,4400,LV@NO 09/27/2026 4:25PM ET,NO,6.65
TE,Nate Adkins,4300,LA@DEN 09/27/2026 8:20PM ET,DEN,6.4
TE,Hunter Henry,4300,NE@JAX 09/27/2026 1:00PM ET,NE,6.3
TE,David Njoku,4300,LAC@BUF 09/27/2026 1:00PM ET,LAC,6.35
TE,Blake Whiteheart,4200,CAR@CLE 09/27/2026 1:00PM ET,CLE,5.55
TE,AJ Barner,4200,SEA@WAS 09/27/2026 1:00PM ET,SEA,5.6
TE,Eli Raridon,4200,NE@JAX 09/27/2026 1:00PM ET,NE,5.6
TE,Cole Kmet,4200,PHI@CHI 09/28/2026 8:15PM ET,CHI,5.75
TE,Dawson Knox,4100,LAC@BUF 09/27/2026 1:00PM ET,BUF,5.1
TE,Gunnar Helm,4100,TEN@NYG 09/27/2026 1:00PM ET,TEN,5.05
TE,Drew Sample,4000,CIN@PIT 09/27/2026 1:00PM ET,CIN,4.9
TE,Foster Moreau,3900,HOU@IND 09/27/2026 1:00PM ET,HOU,4.45
TE,Austin Hooper,3800,ATL@GB 09/24/2026 8:15PM ET,ATL,4.0
TE,Greg Dulcich,3800,KC@MIA 09/27/2026 1:00PM ET,MIA,3.75
TE,Josh Oliver,3800,MIN@TB 09/27/2026 4:05PM ET,MIN,3.8
TE,Chig Okonkwo,3800,SEA@WAS 09/27/2026 1:00PM ET,WAS,3.6
TE,John Bates,3700,SEA@WAS 09/27/2026 1:00PM ET,WAS,3.3
TE,Tommy Tremble,3700,CAR@CLE 09/27/2026 1:00PM ET,CAR,3.45
TE,Adam Trautman,3600,LA@DEN 09/27/2026 8:20PM ET,DEN,3.0
TE,Johnny Mundt,3600,PHI@CHI 09/28/2026 8:15PM ET,PHI,2.8
TE,Elijah Arroyo,3600,SEA@WAS 09/27/2026 1:00PM ET,SEA,2.7
TE,Darnell Washington,3600,CIN@PIT 09/27/2026 1:00PM ET,PIT,2.75
TE,Charlie Kolar,3500,LAC@BUF 09/27/2026 1:00PM ET,LAC,2.55
TE,Colby Parkinson,3500,LA@DEN 09/27/2026 8:20PM ET,LA,2.55
TE,Marlin Klein,3500,HOU@IND 09/27/2026 1:00PM ET,HOU,2.6
TE,Erick All,3500,CIN@PIT 09/27/2026 1:00PM ET,CIN,2.5
TE,Matthew Hibner,3500,BAL@DAL 09/27/2026 4:25PM ET,BAL,2.3
TE,Luke Schoonmaker,3500,BAL@DAL 09/27/2026 4:25PM ET,DAL,2.2
TE,Mitchell Evans,3400,CAR@CLE 09/27/2026 1:00PM ET,CAR,2.1
TE,Ian Thomas,3400,LV@NO 09/27/2026 4:25PM ET,LV,2.1
TE,Jeremy Ruckert,3400,NYJ@DET 09/27/2026 1:00PM ET,NYJ,1.95
TE,Davis Allen,3400,LA@DEN 09/27/2026 8:20PM ET,LA,2.0
TE,Sam Roush,3400,PHI@CHI 09/28/2026 8:15PM ET,CHI,1.9
TE,Nate Boerkircher,3400,NE@JAX 09/27/2026 1:00PM ET,JAX,1.9
TE,Jake Briningstool,3400,KC@MIA 09/27/2026 1:00PM ET,KC,1.9
TE,Oscar Delp,3400,LV@NO 09/27/2026 4:25PM ET,NO,1.8
TE,Mason Taylor,3400,NYJ@DET 09/27/2026 1:00PM ET,NYJ,1.8
TE,Luke Farrell,3400,ARI@SF 09/27/2026 4:05PM ET,SF,1.95
TE,Brevyn Spann-Ford,3400,BAL@DAL 09/27/2026 4:25PM ET,DAL,1.7
TE,Ben Sinnott,3300,SEA@WAS 09/27/2026 1:00PM ET,WAS,1.6
TE,Kyle Pitts,3300,ATL@GB 09/24/2026 8:15PM ET,ATL,1.25
TE,Colson Yankoff,3300,SEA@WAS 09/27/2026 1:00PM ET,WAS,1.2
TE,Tanner Hudson,3300,CIN@PIT 09/27/2026 1:00PM ET,CIN,1.4
TE,Tyler Higbee,3300,LA@DEN 09/27/2026 8:20PM ET,LA,1.2
TE,Quintin Morris,3200,NE@JAX 09/27/2026 1:00PM ET,JAX,0.85
TE,Cade Stover,3200,HOU@IND 09/27/2026 1:00PM ET,HOU,0.8
TE,Theo Johnson,3200,TEN@NYG 09/27/2026 1:00PM ET,NYG,0.95
TE,Daniel Bellinger,3200,TEN@NYG 09/27/2026 1:00PM ET,TEN,0.85
TE,Brock Wright,3200,NYJ@DET 09/27/2026 1:00PM ET,DET,0.75
TE,Noah Gray,3200,KC@MIA 09/27/2026 1:00PM ET,KC,0.75
TE,Will Kacmarek,3100,KC@MIA 09/27/2026 1:00PM ET,MIA,0.7
TE,Colston Loveland,3100,PHI@CHI 09/28/2026 8:15PM ET,CHI,0.65
TE,Durham Smythe,3100,BAL@DAL 09/27/2026 4:25PM ET,BAL,0.7
TE,Bauer Sharp,3000,MIN@TB 09/27/2026 4:05PM ET,TB,0.0
TE,Elijah Higgins,3000,ARI@SF 09/27/2026 4:05PM ET,ARI,0.0
TE,Andrew Ogletree,3000,HOU@IND 09/27/2026 1:00PM ET,IND,0.0
TE,Nick Muse,3000,ATL@GB 09/24/2026 8:15PM ET,ATL,0.0
TE,Cameron Latu,3000,NE@JAX 09/27/2026 1:00PM ET,NE,0.0
TE,Brayden Willis,3000,ARI@SF 09/27/2026 4:05PM ET,SF,0.0
TE,Carsen Ryan,3000,CAR@CLE 09/27/2026 1:00PM ET,CLE,0.0
TE,Eric Saubert,3000,SEA@WAS 09/27/2026 1:00PM ET,SEA,0.0
TE,Charlie Woerner,3000,ATL@GB 09/24/2026 8:15PM ET,ATL,0.0
TE,Treyton Welch,3000,LV@NO 09/27/2026 4:25PM ET,NO,0.0
TE,Feleipe Franks,3000,CAR@CLE 09/27/2026 1:00PM ET,CAR,0.0
TE,Hunter Long,3000,ARI@SF 09/27/2026 4:05PM ET,ARI,0.0
TE,Keleki Latu,3000,LAC@BUF 09/27/2026 1:00PM ET,BUF,0.0
WR,Jaxon Smith-Njigba,10000,SEA@WAS 09/27/2026 1:00PM ET,SEA,34.35
WR,Amon-Ra St. Brown,9700,NYJ@DET 09/27/2026 1:00PM ET,DET,31.95
WR,Zay Flowers,8500,BAL@DAL 09/27/2026 4:25PM ET,BAL,26.0
WR,CeeDee Lamb,8300,BAL@DAL 09/27/2026 4:25PM ET,DAL,25.35
WR,Chris Olave,8300,LV@NO 09/27/2026 4:25PM ET,NO,25.4
WR,Jalen Coker,8100,CAR@CLE 09/27/2026 1:00PM ET,CAR,24.2
WR,Christian Watson,7900,ATL@GB 09/24/2026 8:15PM ET,GB,23.4
WR,Davante Adams,7700,LA@DEN 09/27/2026 8:20PM ET,LA,22.55
WR,Nico Collins,7500,HOU@IND 09/27/2026 1:00PM ET,HOU,21.2
WR,Justin Jefferson,7200,MIN@TB 09/27/2026 4:05PM ET,MIN,19.85
WR,Stefon Diggs,6900,SEA@WAS 09/27/2026 1:00PM ET,WAS,18.6
WR,DeVonta Smith,6800,PHI@CHI 09/28/2026 8:15PM ET,PHI,18.0
WR,Parker Washington,6800,NE@JAX 09/27/2026 1:00PM ET,JAX,18.05
WR,Denzel Boston,6600,CAR@CLE 09/27/2026 1:00PM ET,CLE,17.2
WR,Devaughn Vele,6300,LV@NO 09/27/2026 4:25PM ET,NO,15.65
WR,Garrett Wilson,6200,NYJ@DET 09/27/2026 1:00PM ET,NYJ,15.3
WR,Ja'Marr Chase,6100,CIN@PIT 09/27/2026 1:00PM ET,CIN,14.85
WR,Ryan Miller,6100,KC@MIA 09/27/2026 1:00PM ET,MIA,14.7
WR,Tre Tucker,5900,LV@NO 09/27/2026 4:25PM ET,LV,13.8
WR,Dontayvion Wicks,5900,PHI@CHI 09/28/2026 8:15PM ET,PHI,13.85
WR,Tetairoa McMillan,5700,CAR@CLE 09/27/2026 1:00PM ET,CAR,12.8
WR,Matthew Golden,5700,ATL@GB 09/24/2026 8:15PM ET,GB,12.65
WR,Kalif Raymond,5700,PHI@CHI 09/28/2026 8:15PM ET,CHI,12.7
WR,Mike Evans,5700,ARI@SF 09/27/2026 4:05PM ET,SF,12.65
WR,Ladd McConkey,5700,LAC@BUF 09/27/2026 1:00PM ET,LAC,12.85
WR,Puka Nacua,5600,LA@DEN 09/27/2026 8:20PM ET,LA,12.4
WR,Deebo Samuel Sr.,5600,ARI@SF 09/27/2026 4:05PM ET,SF,12.25
WR,Tee Higgins,5500,CIN@PIT 09/27/2026 1:00PM ET,CIN,11.7
WR,Jaylen Waddle,5400,LA@DEN 09/27/2026 8:20PM ET,DEN,11.5
WR,Rashod Bateman,5300,BAL@DAL 09/27/2026 4:25PM ET,BAL,10.9
WR,Rashee Rice,5300,KC@MIA 09/27/2026 1:00PM ET,KC,11.1
WR,Josh Palmer,5300,LAC@BUF 09/27/2026 1:00PM ET,BUF,10.85
WR,Emeka Egbuka,5300,MIN@TB 09/27/2026 4:05PM ET,TB,10.8
WR,Antonio Williams,5300,SEA@WAS 09/27/2026 1:00PM ET,WAS,10.9
WR,Adonai Mitchell,5200,NYJ@DET 09/27/2026 1:00PM ET,NYJ,10.65
WR,DJ Moore,5200,LAC@BUF 09/27/2026 1:00PM ET,BUF,10.45
WR,Josh Downs,5100,HOU@IND 09/27/2026 1:00PM ET,IND,9.95
WR,Demarcus Robinson,5000,ARI@SF 09/27/2026 4:05PM ET,SF,9.7
WR,Kendrick Bourne,5000,ARI@SF 09/27/2026 4:05PM ET,ARI,9.3
WR,Xavier Worthy,4900,KC@MIA 09/27/2026 1:00PM ET,KC,9.15
WR,Caleb Douglas,4900,KC@MIA 09/27/2026 1:00PM ET,MIA,9.15
WR,Michael Pittman,4800,CIN@PIT 09/27/2026 1:00PM ET,PIT,8.8
WR,Chris Godwin Jr.,4800,MIN@TB 09/27/2026 4:05PM ET,TB,8.55
WR,Elic Ayomanor,4800,TEN@NYG 09/27/2026 1:00PM ET,TEN,8.5
WR,Cody White,4700,LV@NO 09/27/2026 4:25PM ET,LV,8.2
WR,George Pickens,4700,BAL@DAL 09/27/2026 4:25PM ET,DAL,7.9
WR,KC Concepcion,4700,CAR@CLE 09/27/2026 1:00PM ET,CLE,8.0
WR,Khalil Shakir,4700,LAC@BUF 09/27/2026 1:00PM ET,BUF,7.9
WR,Jack Bech,4700,LV@NO 09/27/2026 4:25PM ET,LV,7.9
WR,Jakobi Meyers,4700,NE@JAX 09/27/2026 1:00PM ET,JAX,8.0
WR,Malik Washington,4600,KC@MIA 09/27/2026 1:00PM ET,MIA,7.5
WR,Germie Bernard,4600,CIN@PIT 09/27/2026 1:00PM ET,PIT,7.5
WR,Luther Burden III,4600,PHI@CHI 09/28/2026 8:15PM ET,CHI,7.85
WR,Drake London,4500,ATL@GB 09/24/2026 8:15PM ET,ATL,7.2
WR,Rome Odunze,4500,PHI@CHI 09/28/2026 8:15PM ET,CHI,7.25
WR,DK Metcalf,4500,CIN@PIT 09/27/2026 1:00PM ET,PIT,7.35
WR,Jahdae Walker,4500,PHI@CHI 09/28/2026 8:15PM ET,CHI,7.1
WR,Brian Thomas Jr.,4500,NE@JAX 09/27/2026 1:00PM ET,JAX,7.0
WR,Michael Wilson,4500,ARI@SF 09/27/2026 4:05PM ET,ARI,7.2
WR,Malik Nabers,4500,TEN@NYG 09/27/2026 1:00PM ET,NYG,7.0
WR,Keon Coleman,4400,LAC@BUF 09/27/2026 1:00PM ET,BUF,6.7
WR,Roman Wilson,4400,CIN@PIT 09/27/2026 1:00PM ET,PIT,6.7
WR,Xavier Hutchinson,4400,HOU@IND 09/27/2026 1:00PM ET,HOU,6.45
WR,Jameson Williams,4400,NYJ@DET 09/27/2026 1:00PM ET,DET,6.9
WR,Carnell Tate,4400,TEN@NYG 09/27/2026 1:00PM ET,TEN,6.75
WR,Mack Hollins,4400,NE@JAX 09/27/2026 1:00PM ET,NE,6.45
WR,Romeo Doubs,4300,NE@JAX 09/27/2026 1:00PM ET,NE,6.3
